id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
1000102,20140916T000000,280000,6,3,2400,9373,2,0,0,3,7,2400,0,1991,0,98002,47.3262,-122.214,2060,7316
1000102,20150422T000000,300000,6,3,2400,9373,2,0,0,3,7,2400,0,1991,0,98002,47.3262,-122.214,2060,7316
1200019,20140508T000000,647500,4,1.75,2060,26036,1,0,0,4,8,1160,900,1947,0,98166,47.4444,-122.351,2590,21891
1200021,20140811T000000,400000,3,1,1460,43000,1,0,0,3,7,1460,0,1952,0,98166,47.4434,-122.347,2250,20023
2800031,20150401T000000,235000,3,1,1430,7599,1.5,0,0,4,6,1010,420,1930,0,98168,47.4783,-122.265,1290,10320
3600057,20150319T000000,402500,4,2,1650,3504,1,0,0,3,7,760,890,1951,2013,98144,47.5803,-122.294,1480,3504
3600072,20150330T000000,680000,4,2.75,2220,5310,1,0,0,5,7,1170,1050,1951,0,98144,47.5801,-122.294,1540,4200
3800008,20150224T000000,178000,5,1.5,1990,18200,1,0,0,3,7,1990,0,1960,0,98178,47.4938,-122.262,1860,8658
5200087,20140709T000000,487000,4,2.5,2540,5001,2,0,0,3,9,2540,0,2005,0,98108,47.5423,-122.302,2360,6834
6200017,20141112T000000,281000,3,1,1340,21336,1.5,0,0,4,5,1340,0,1945,0,98032,47.4023,-122.273,1340,37703
7200080,20141104T000000,239000,4,2,1980,10585,1.5,0,0,2,6,1980,0,1924,0,98055,47.4836,-122.214,1360,7810
7200179,20141016T000000,150000,2,1,840,12750,1,0,0,3,6,840,0,1925,0,98055,47.484,-122.211,1480,6969
7200179,20150424T000000,175000,2,1,840,12750,1,0,0,3,6,840,0,1925,0,98055,47.484,-122.211,1480,6969
7400062,20140521T000000,299800,2,1,790,5240,1,0,0,4,6,790,0,1925,0,98118,47.5303,-122.288,1430,5320
7600057,20140805T000000,520000,3,2,1410,2700,2,0,0,4,7,1410,0,1902,0,98122,47.6029,-122.302,1750,4000
7600065,20140605T000000,465000,3,2.25,1530,1245,2,0,0,3,9,1050,480,2014,0,98122,47.6018,-122.297,1530,2307
7600125,20141218T000000,630000,5,1,3020,4800,2,0,0,3,7,3020,0,1901,0,98122,47.6025,-122.313,1350,1307
7600136,20140718T000000,411000,2,2,1130,1148,2,0,0,3,9,800,330,2007,0,98122,47.6023,-122.314,1350,1201
9000025,20141203T000000,496000,2,1,1420,4635,2,0,0,4,7,1420,0,1941,1973,98115,47.68,-122.304,1810,4635
11200070,20140721T000000,570000,3,2.5,1530,3296,2,0,0,3,8,1530,0,1998,0,98007,47.6181,-122.138,1530,4099
11200290,20140609T000000,546000,3,2.5,1530,3464,2,0,0,3,8,1530,0,1998,0,98007,47.6179,-122.141,1530,3446
11200400,20140923T000000,617000,3,2.5,1910,4488,2,0,0,3,8,1910,0,1998,0,98007,47.6176,-122.14,1530,3696
11300120,20140630T000000,635000,3,2.5,3350,4007,2,0,0,3,8,2550,800,2005,0,98034,47.7277,-122.207,2340,4167
